Palabra,Sentimiento
Bulo,Negativo
Fake,Negativo
Mentira,Negativo
Engaño,Negativo
Falso,Negativo
Bot,Negativo
Troll,Negativo
Estafa,Negativo
Clickbait,Negativo
Manipulación,Negativo
Rumor,Negativo
Viralizar,Negativo
Desinformación,Negativo
Deepfake,Negativo
Conspiración,Negativo
Fraude,Negativo
Spam,Negativo
Phishing,Negativo
Montaje,Negativo
Sesgo,Negativo
Censura,Negativo
Algoritmo,Negativo
Eco,Negativo
Polarización,Negativo
Propaganda,Negativo
Falacia,Negativo
Difamación,Negativo
Calumnia,Negativo
Plagio,Negativo
Impostor,Negativo
Tergiversar,Negativo
Distorsión,Negativo
Adulterar,Negativo
Inexacto,Negativo
Rumorología,Negativo
Pseudociencia,Negativo
Negacionismo,Negativo
Posverdad,Negativo
Descontextualizar,Negativo
Sensacionalismo,Negativo
Amarillismo,Negativo
Patraña,Negativo
Trola,Negativo
Falsedad,Negativo
Invención,Negativo
Engañoso,Negativo
Malicioso,Negativo
Encubrimiento,Negativo
Odio,Negativo
Ataque,Negativo
Insulto,Negativo
Amenaza,Negativo
Muerte,Negativo
Violencia,Negativo
Racismo,Negativo
Xenofobia,Negativo
Machismo,Negativo
Sexismo,Negativo
Homofobia,Negativo
Discriminación,Negativo
Acoso,Negativo
Bullying,Negativo
Crueldad,Negativo
Guerra,Negativo
Conflicto,Negativo
Enemigo,Negativo
Venganza,Negativo
Ira,Negativo
Furia,Negativo
Rabia,Negativo
Rencor,Negativo
Asco,Negativo
Desprecio,Negativo
Humillación,Negativo
Burla,Negativo
Sarcasmo,Negativo
Cínico,Negativo
Hipócrita,Negativo
Cobarde,Negativo
Tóxico,Negativo
Veneno,Negativo
Agresión,Negativo
Golpe,Negativo
Herida,Negativo
Sangre,Negativo
Asesinato,Negativo
Terrorismo,Negativo
Extremismo,Negativo
Fanatismo,Negativo
Intolerancia,Negativo
Estúpido,Negativo
Imbécil,Negativo
Idiota,Negativo
Basura,Negativo
Mierda,Negativo
Maldito,Negativo
Asqueroso,Negativo
Repugnante,Negativo
Vergüenza,Negativo
Hostilidad,Negativo
Linchamiento,Negativo
Cyberbullying,Negativo
Misoginia,Negativo
Segregación,Negativo
Genocidio,Negativo
Doxing,Negativo
Intimidación,Negativo
Ridiculizar,Negativo
Desacreditar,Negativo
Vulnerar,Negativo
Dañar,Negativo
Tristeza,Negativo
Dolor,Negativo
Sufrimiento,Negativo
Miedo,Negativo
Pánico,Negativo
Terror,Negativo
Angustia,Negativo
Ansiedad,Negativo
Depresión,Negativo
Soledad,Negativo
Abandono,Negativo
Rechazo,Negativo
Fracaso,Negativo
Error,Negativo
Defecto,Negativo
